,"Baseline (α=1, β=1)"
total_return,335.574998024392
sharpe_ratio,0.9514079987418042
max_drawdown,-50.242407412402365
volatility,39.02773939896961
win_rate,53.66242038216561
sortino_ratio,1.315998059736625
cvar,-5.499704830610777
