date,total_assets
2021-06-24,1807687.6131803454
2021-06-25,1821645.8038579882
2021-06-28,1808168.9225027026
2021-06-29,1785932.0792829455
2021-06-30,1784199.2996236742
2021-07-01,1794451.3314039172
2021-07-02,1886286.5602170886
2021-07-06,1862654.0411436022
2021-07-07,1860343.668264574
2021-07-08,1878296.759367174
2021-07-09,1870066.1386091174
2021-07-12,1867515.1661512316
2021-07-13,1859332.7975065173
2021-07-14,1866745.115301317
2021-07-15,1868959.2042829455
2021-07-16,1874446.2847883166
2021-07-19,1930038.2275907458
2021-07-20,1885901.424627489
2021-07-21,1917379.649198717
2021-07-22,1933070.619535631
2021-07-23,1920412.0411436022
2021-07-26,1913288.3547117175
2021-07-27,1922674.1619092883
2021-07-28,1920460.0729276598
2021-07-29,1920700.6725065173
2021-07-30,1926813.4881803454
2021-08-02,1917235.3335172595
2021-08-03,1941301.019964403
2021-08-04,1942793.0898801745
2021-08-05,1859621.649198717
2021-08-06,1869825.53903026
2021-08-09,1814570.3695394457
2021-08-10,1759122.742418474
2021-08-11,1776065.0729276598
2021-08-12,1800323.4373342455
2021-08-13,1782418.4881803454
2021-08-16,1760518.5284368456
2021-08-17,1744105.649198717
2021-08-18,1746704.7636053027
2021-08-19,1768652.75513286
2021-08-20,1793248.1131803454
2021-08-23,2126800.4309827746
2021-08-24,2151732.6725065173
2021-08-25,2201741.47123546
2021-08-26,2220224.0136091174
2021-08-27,2208335.486067003
2021-08-30,2219068.827169603
2021-08-31,2215507.2042829455
2021-09-01,2226336.8292829455
2021-09-02,2253627.475469774
2021-09-03,2226769.9966566027
2021-09-07,2241642.66403026
2021-09-08,2245348.82292766
2021-09-09,2261713.5602170886
2021-09-10,2291651.462759203
2021-09-13,2333574.176740831
2021-09-14,2310037.72123546
2021-09-15,2333814.7763196887
2021-09-16,2292854.6809827746
2021-09-17,2283324.778433031
2021-09-20,2276778.7953855456
2021-09-21,2290929.443693346
2021-09-22,2325488.091993517
2021-09-23,2360720.5072462023
2021-09-24,2339398.1407224596
2021-09-27,2292758.6174146594
2021-09-28,2276971.3631803454
2021-09-29,2305513.479704088
